customer_id,customer_name,customer_gender,customer_birthdate,age,kids_home,teens_home,number_complaints,distinct_stores_visited,lifetime_spend_groceries,lifetime_spend_electronics,typical_hour,lifetime_spend_vegetables,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_hygiene,lifetime_spend_videogames,lifetime_spend_petfood,lifetime_total_distinct_products,percentage_of_products_bought_promotion,year_first_transaction,latitude,longitude,has_loyalty_card
3.0,  Crystal Kitchens,female,1970-02-12 13:36:00,56.0,1.0,1.0,1.0,3.0,11731.0,4553.0,12.0,373.0,323.0,177.0,28.0,213.0,552.0,256.0,384.0,189.0,0.631598739079086,2020.0,38.79442787189893,-9.21573941941328,True
4.0,  Glenda Bauman,female,1975-11-13 18:58:00,50.0,1.0,0.0,0.0,2.0,13694.0,963.0,12.0,2012.0,533.0,95.0,43.0,15.0,1880.0,333.0,665.0,130.0,0.1498902493395143,2013.0,38.75171109471023,-9.17961146619482,True
5.0,  Antonio Campbell,male,1971-09-10 10:07:00,54.0,0.0,0.0,1.0,2.0,12407.0,0.0,11.0,555.0,101.0,118.0,1265.0,273.0,507.0,101.0,222.0,81.0,0.0691255069323915,2005.0,38.7806775225494,-9.16065569234224,False
7.0,John Kelling,male,1982-10-23 11:20:00,43.0,0.0,0.0,2.0,1.0,7493.0,1105.0,18.0,84.0,757.0,1133.0,972.0,1083.0,485.0,736.0,184.0,92.0,0.253609260797035,2021.0,38.7395484361888,-9.14867873262084,True
8.0,Arthur Dematteo,male,1969-08-04 22:22:00,56.0,0.0,0.0,2.5,1.0,9187.0,8297.0,17.0,380.0,592.0,718.0,1068.0,1015.0,297.0,736.0,441.0,6.0,0.1865687348395157,2021.0,38.733071481512525,-9.18818784180837,True
9.0,  Nadine Garcia,female,1968-10-09 04:01:00,57.0,1.0,1.0,1.0,6.0,16530.0,1156.0,6.0,1708.0,406.0,363.0,27.0,76.0,513.0,225.0,327.0,84.0,0.1506456602849799,2011.0,38.73557687527516,-9.172423167155566,True
10.0,  Franklin Alba,male,1971-06-09 05:08:00,54.0,2.0,1.0,0.0,1.0,22240.0,1470.0,9.0,1284.0,538.0,1910.5,1397.0,1723.0,886.0,203.0,119.0,202.0,0.2754122773297123,2014.0,38.730322477032075,-9.144022385203078,True
11.0,  Robert Hansing,male,1977-07-19 10:22:00,48.0,1.0,1.0,1.0,6.0,29765.0,1543.0,10.0,190.0,411.0,641.0,871.0,731.0,1240.0,736.0,397.0,180.0,0.1642509924715683,2017.0,38.739327834608034,-9.224917499943274,True
12.0,  Dorothy Pacheco,female,2000-05-19 03:02:00,26.0,0.0,0.0,0.0,2.0,9281.0,254.0,18.0,125.0,60.0,1549.0,139.0,598.0,673.0,71.0,64.0,29.0,-0.1311760446219992,2018.0,38.74861570702996,-9.167756169633098,False
14.0,  Arron Burgener,male,1948-11-28 19:53:00,77.0,1.0,0.0,1.0,3.0,7981.0,2151.0,12.0,1659.0,799.0,125.0,148.0,24.0,1393.0,178.0,90.0,57.0,0.1973528031772604,2017.0,38.788819494073906,-9.184157680069834,True
